block,lat,long,north_border,south_border,east_border,west_border,hazing,surface_type
1,45.5254,-122.6847,NW FLANDERS ST,NW EVERETT ST,NW 13TH AVE,NW 14TH AVE,0,
2,45.5247,-122.6847,NW EVERETT ST,NW DAVIS ST,NW 13TH AVE,NW 14TH AVE,0,
3,45.524,-122.6847,NW DAVIS ST,NW COUCH ST,NW 13TH AVE,NW 14TH AVE,0,
4,45.5233,-122.6847,NW COUCH ST,W BURNSIDE ST,NW 13TH AVE,NW 14TH AVE,0,
5,45.5226,-122.6848,W BURNSIDE ST,SW WASHINGTON,SW 13TH AVE,SW 14TH AVE,0,
6,45.522,-122.6852,SW WASHINGTON,SW ALDER ST,SW 13TH AVE,SW 14TH AVE,0,
7,45.5254,-122.6837,NW FLANDERS ST,NW EVERETT ST,NW 12TH AVE,NW 13TH AVE,0,
8,45.5247,-122.6837,NW EVERETT ST,NW DAVIS ST,NW 12TH AVE,NW 13TH AVE,0,
9,45.524,-122.6837,NW DAVIS ST,NW COUCH ST,NW 12TH AVE,NW 13TH AVE,0,
10,45.5233,-122.6837,NW COUCH ST,W BURNSIDE ST,NW 12TH AVE,NW 13TH AVE,0,
11,45.5224,-122.6838,SW HARVEY MILK,SW WASHINGTON,SW 12TH AVE,SW 13TH AVE,0,
12,45.5217,-122.6841,SW WASHINGTON,SW ALDER ST,SW 12TH AVE,SW 13TH AVE,0,
13,45.521,-122.6845,SW ALDER ST,SW MORRISON ST,SW 12TH AVE,SW 13TH AVE,0,
14,45.5204,-122.6848,SW MORRISON ST,SW YAMHILL ST,SW 12TH AVE,SW 13TH AVE,0,
15,45.5197,-122.6852,SW YAMHILL ST,SW TAYLOR ST,SW 12TH AVE,SW 13TH AVE,0,
16,45.519,-122.6855,SW TAYLOR ST,SW SALMON ST,SW 12TH AVE,SW 13TH AVE,0,
17,45.5184,-122.6859,SW SALMON ST,SW MAIN ST,SW 12TH AVE,SW 13TH AVE,0,
18,45.5177,-122.6863,SW MAIN ST,SW MADISON ST,SW 12TH AVE,SW 13TH AVE,0,
19,45.517,-122.6866,NA,SW JEFFERSON ST,SW 12TH AVE,SW 13TH AVE,0,
20,45.5163,-122.687,SW JEFFERSON ST,SW COLUMBIA ST,SW 12TH AVE,SW 13TH AVE,0,
21,45.5157,-122.6873,SW COLUMBIA ST,SW CLAY ST,SW 12TH AVE,SW 13TH AVE,0,
22,45.515,-122.6877,SW CLAY ST,SW MARKET ST,SW 12TH AVE,SW 13TH AVE,0,
23,45.5143,-122.688,SW MARKET ST,SW MILL ST,SW 12TH AVE,SW 13TH AVE,0,
24,45.5137,-122.6884,NA,SW MONTGOMERY,SW 12TH AVE,SW 13TH AVE,0,
