block,date,side,count
10,2019-12-01,south,80
10,2019-12-01,east,100
11,2019-12-01,north,30
23,2019-12-01,north,210
27,2019-12-01,south,40
27,2019-12-01,east,20
28,2019-12-01,north,50
28,2019-12-01,south,150
28,2019-12-01,east,200
28,2019-12-01,west,100
29,2019-12-01,east,60
41,2019-12-01,north,520
47,2019-12-01,south,280
47,2019-12-01,west,60
48,2019-12-01,north,120
48,2019-12-01,south,100
61,2019-12-01,north,560
92,2019-12-01,north,120
94,2019-12-01,south,20
95,2019-12-01,north,100
106,2019-12-01,north,240
118,2019-12-01,south,10
130,2019-12-01,north,10
167,2019-12-01,south,100
168,2019-12-01,east,550
169,2019-12-01,east,50
179,2019-12-01,north,700
192,2019-12-01,west,250
193,2019-12-01,west,10
203,2019-12-01,north,260
216,2019-12-01,north,60
216,2019-12-01,south,100
216,2019-12-01,west,350
217,2019-12-01,north,100
227,2019-12-01,north,610
238,2019-12-01,north,10
238,2019-12-01,south,300
238,2019-12-01,east,140
238,2019-12-01,west,350
239,2019-12-01,north,20
239,2019-12-01,surface,100
240,2019-12-01,south,400
240,2019-12-01,east,40
241,2019-12-01,north,400
250,2019-12-01,north,1640
259,2019-12-01,south,220
260,2019-12-01,north,80
260,2019-12-01,south,100
260,2019-12-01,east,300
260,2019-12-01,west,200
261,2019-12-01,north,100
261,2019-12-01,east,100
261,2019-12-01,west,80
261,2019-12-01,surface,500
261,2019-12-01,south,100
262,2019-12-01,east,200
263,2019-12-01,south,40
263,2019-12-01,east,200
263,2019-12-01,west,60
264,2019-12-01,north,100
273,2019-12-01,north,1600
282,2019-12-01,north,100
282,2019-12-01,south,50
282,2019-12-01,surface,500
282,2019-12-01,south,200
282,2019-12-01,west,150
283,2019-12-01,north,450
283,2019-12-01,east,100
283,2019-12-01,west,350
285,2019-12-01,south,400
285,2019-12-01,west,320
295,2019-12-01,north,2270
301,2019-12-01,east,150
302,2019-12-01,north,150
302,2019-12-01,south,120
311,2019-12-01,south,250
312,2019-12-01,north,1000
313,2019-12-01,north,1400
322,2019-12-01,north,120
324,2019-12-01,south,2650
2,2019-09-23,south,100
3,2019-09-23,north,100
7,2019-09-23,south,160
8,2019-09-23,north,100
8,2019-09-23,east,120
8,2019-09-23,south,150
9,2019-09-23,north,80
9,2019-09-23,east,30
9,2019-09-23,south,50
10,2019-09-23,north,120
10,2019-09-23,east,30
10,2019-09-23,south,60
26,2019-09-23,north,250
26,2019-09-23,west,100
26,2019-09-23,east,20
27,2019-09-23,north,30
27,2019-09-23,west,30
27,2019-09-23,east,60
27,2019-09-23,south,10
28,2019-09-23,north,70
28,2019-09-23,west,60
28,2019-09-23,east,50
28,2019-09-23,south,80
46,2019-09-23,west,30
47,2019-09-23,west,60
47,2019-09-23,south,150
48,2019-09-23,north,100
48,2019-09-23,west,40
73,2019-09-23,east,10
92,2019-09-23,west,90
94,2019-09-23,east,20
94,2019-09-23,south,20
95,2019-09-23,north,100
96,2019-09-23,north,40
96,2019-09-23,south,50
118,2019-09-23,west,20
120,2019-09-23,south,100
121,2019-09-23,north,100
143,2019-09-23,east,250
144,2019-09-23,east,80
145,2019-09-23,east,50
165,2019-09-23,west,10
165,2019-09-23,east,100
166,2019-09-23,west,200
166,2019-09-23,east,400
167,2019-09-23,west,250
167,2019-09-23,east,200
167,2019-09-23,south,20
168,2019-09-23,west,180
168,2019-09-23,east,350
169,2019-09-23,east,220
189,2019-09-23,west,120
190,2019-09-23,north,100
190,2019-09-23,west,400
190,2019-09-23,east,120
190,2019-09-23,south,300
191,2019-09-23,west,80
192,2019-09-23,west,350
193,2019-09-23,west,60
212,2019-09-23,west,80
212,2019-09-23,east,10
212,2019-09-23,south,200
214,2019-09-23,north,100
216,2019-09-23,north,80
216,2019-09-23,west,120
216,2019-09-23,south,40
217,2019-09-23,north,50
224,2019-09-23,east,200
224,2019-09-23,south,100
225,2019-09-23,north,100
238,2019-09-23,north,100
238,2019-09-23,west,220
238,2019-09-23,south,20
240,2019-09-23,south,300
241,2019-09-23,north,200
248,2019-09-23,north,110
248,2019-09-23,east,60
259,2019-09-23,west,200
260,2019-09-23,west,120
269,2019-09-23,south,120
270,2019-09-23,north,200
270,2019-09-23,west,400
270,2019-09-23,east,200
270,2019-09-23,south,400
271,2019-09-23,north,100
271,2019-09-23,west,100
271,2019-09-23,east,100
271,2019-09-23,south,100
271,2019-09-23,surface,500
272,2019-09-23,north,200
292,2019-09-23,north,150
292,2019-09-23,west,400
292,2019-09-23,south,400
293,2019-09-23,north,150
293,2019-09-23,west,200
294,2019-09-23,north,20
10,2020-01-09,east,20
10,2020-01-09,south,50
28,2020-01-09,west,120
28,2020-01-09,east,40
47,2020-01-09,west,30
47,2020-01-09,south,40
48,2020-01-09,north,30
48,2020-01-09,west,30
52,2020-01-09,south,120
53,2020-01-09,north,30
73,2020-01-09,east,20
92,2020-01-09,north,10
94,2020-01-09,north,20
94,2020-01-09,south,40
95,2020-01-09,north,30
96,2020-01-09,south,10
193,2020-01-09,south,10
240,2020-01-09,south,30
241,2020-01-09,north,20
289,2020-01-09,east,60
289,2020-01-09,south,150
290,2020-01-09,east,500
292,2020-01-09,east,180
293,2020-01-09,east,60
294,2020-01-09,east,180
303,2020-01-09,surface,30
307,2020-01-09,surface,200
317,2020-01-09,north,420
318,2020-01-09,north,1000
319,2020-01-09,north,1440
320,2020-01-09,west,1950
320,2020-01-09,east,300
321,2020-01-09,west,1940
324,2020-01-09,north,700
324,2020-01-09,east,40
344,2020-01-09,east,150
345,2020-01-09,east,70
355,2020-01-09,north,40
355,2020-01-09,west,120
355,2020-01-09,east,100
355,2020-01-09,south,100
355,2020-01-09,surface,10
356,2020-01-09,north,80
356,2020-01-09,west,160
356,2020-01-09,east,40
356,2020-01-09,south,70
357,2020-01-09,north,40
358,2020-01-09,west,60
359,2020-01-09,north,20
359,2020-01-09,west,10
380,2020-01-09,north,10
432,2020-01-09,south,10
